id,date,sleep_duration_hr,steps,nightly_temperature,stress_score,daily_temperature_variation,lightly_active_minutes,moderately_active_minutes,very_active_minutes
621e2eaf67b776a2406b14ac,2022-01-19,6.1,12181.0,34.7500273224,80.0,-2.699582134566409,299.0,12.0,27.0
621e2eaf67b776a2406b14ac,2022-01-20,9.733333333333333,25245.0,34.4229537671,76.0,-2.6159348101818183,437.0,65.0,57.0
621e2eaf67b776a2406b14ac,2022-01-21,5.016666666666667,16156.0,34.7314950166,66.0,-2.668473478111111,380.0,24.0,32.0
621e2f1b67b776a240b3d87c,2021-11-09,7.733333333333333,8627.0,33.0964655172,75.0,-0.9211953527520752,285.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-11-10,5.916666666666667,5678.0,33.9182394366,69.0,-1.3580477071435582,286.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-11-11,9.25,6975.0,34.5048828829,65.0,-1.8685234651427207,266.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-11-12,6.833333333333333,6503.0,33.4738199513,72.0,-2.3563728024666664,316.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-11-13,7.766666666666667,11661.0,33.4699570815,74.0,-2.8708396437775803,304.0,13.0,10.0
621e2f1b67b776a240b3d87c,2021-11-14,7.316666666666666,14466.0,33.9178473804,77.0,-2.664713676314712,353.0,29.0,7.0
621e2f1b67b776a240b3d87c,2021-11-15,6.866666666666666,10125.0,33.9373244552,73.0,-2.2605271835670377,333.0,8.0,4.0
621e2f1b67b776a240b3d87c,2021-11-16,8.933333333333334,8250.0,33.2451026119,76.0,-1.7335564641325136,309.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-11-17,7.083333333333333,12192.0,33.9935647059,72.0,-1.547326262660449,396.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-11-18,10.1,8847.0,33.1362458746,77.0,-2.059725321955556,328.0,6.0,0.0
621e2f1b67b776a240b3d87c,2021-11-19,7.616666666666666,7416.0,34.3527620087,82.0,-1.5800499589161463,306.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-11-20,6.266666666666667,10344.0,35.9040159574,64.0,-2.2187399159,348.0,16.0,9.0
621e2f1b67b776a240b3d87c,2021-11-21,8.9,7795.0,34.9947565543,73.0,-2.459288352622222,360.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-11-22,6.483333333333333,8017.0,34.3042159383,76.0,-3.213183857938202,370.0,5.0,13.0
621e2f1b67b776a240b3d87c,2021-11-23,7.283333333333333,8036.0,34.0075799087,81.0,-2.600686412248076,306.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-11-24,7.383333333333334,8647.0,33.3766891892,70.0,-1.9915071353847795,314.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-11-25,8.866666666666667,7971.0,34.0619078947,70.0,-2.376961658822222,331.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-11-26,10.566666666666666,11074.0,33.2045662461,80.0,-2.9977343807222225,441.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-11-27,9.05,11427.0,33.1032628676,75.0,-2.5857605748444445,481.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-11-28,10.0,12794.0,33.2335524126,73.0,-2.2208232492333333,473.0,6.0,4.0
621e2f1b67b776a240b3d87c,2021-11-29,7.933333333333334,11432.0,33.3372431866,84.0,-2.1699338481481374,437.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-11-30,8.033333333333333,8200.0,33.9089958592,72.0,-2.097753179690244,304.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-01,8.183333333333334,12620.0,33.3498065173,70.0,-2.6164188213564974,456.0,10.0,0.0
621e2f1b67b776a240b3d87c,2021-12-02,10.533333333333331,10957.0,33.1357030016,73.0,-2.70063676324432,451.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-03,8.466666666666667,13176.0,34.3369586614,75.0,-1.8220109235222224,513.0,2.0,6.0
621e2f1b67b776a240b3d87c,2021-12-05,10.916666666666666,4058.0,33.2502286585,73.0,-1.7040023954035588,245.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-06,8.55,6905.0,33.3478362573,78.0,-2.512882724307505,291.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-07,10.65,5361.0,33.275829421,74.0,-2.1461656297682388,284.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-08,8.716666666666667,5208.0,34.1101049618,71.0,-1.5462435476041934,312.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-09,12.416666666666666,5509.0,33.7436510067,75.0,-2.395105867811111,270.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-10,8.866666666666667,4205.0,33.7369324578,72.0,-2.4277345411333333,224.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-11,6.933333333333334,3199.0,34.1035336538,66.0,-2.1174585653949367,179.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-12,4.95,3399.0,34.3148821549,65.0,-1.6500812392581394,182.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-13,10.95,4486.0,33.2879984779,62.0,-1.5156197566999998,259.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-16,8.4,4212.0,33.785625,56.0,-1.46978571663029,231.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-17,6.883333333333334,5211.0,34.4109079903,73.0,-1.9703299531867964,270.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-18,10.816666666666666,4992.0,33.0717103236,73.0,-2.6465599740346075,257.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-19,7.983333333333333,4132.0,33.5598854167,68.0,-2.289863798311111,223.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-20,10.283333333333331,3908.0,31.646407767,66.0,-2.699609264520469,236.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-21,8.383333333333333,2628.0,34.6371010101,62.0,-1.6136203097560236,155.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-22,7.533333333333333,4341.0,34.3525884956,64.0,-1.1778185529,257.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-23,9.033333333333331,4582.0,33.7544833948,68.0,-2.7090789695666664,240.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-24,8.316666666666666,4357.0,33.503507014,69.0,-1.7505619923800628,267.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-25,7.333333333333333,4513.0,33.5666099773,70.0,-3.285557326411111,245.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-26,10.85,2646.0,33.6355990783,67.0,-2.041648253328234,162.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-27,10.4,3985.0,33.0617467949,59.0,-1.7398940848326996,205.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-28,12.083333333333334,3153.0,33.208023416,68.0,-2.2917445572825748,193.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-29,9.416666666666666,3863.0,33.320380531,67.0,-1.8401830687859624,222.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-30,11.433333333333334,2486.0,34.5523396501,70.0,-0.492153947,165.0,0.0,0.0
621e2f1b67b776a240b3d87c,2021-12-31,10.266666666666667,2651.0,33.7699675325,68.0,-1.5194708644336634,169.0,0.0,0.0
621e2f1b67b776a240b3d87c,2022-01-01,5.133333333333334,4802.0,34.1605825243,68.0,-2.648333176022168,312.0,0.0,0.0
621e2f1b67b776a240b3d87c,2022-01-02,10.933333333333334,3978.0,34.0007686454,69.0,-2.246493202357285,207.0,0.0,0.0
621e2f1b67b776a240b3d87c,2022-01-03,11.6,4469.0,32.9563055954,65.0,-1.8168004671888889,247.0,0.0,0.0
621e2f1b67b776a240b3d87c,2022-01-04,11.0,3588.0,34.0073636364,64.0,-1.726966808945038,177.0,9.0,2.0
621e2f1b67b776a240b3d87c,2022-01-05,7.483333333333333,3876.0,34.2129017857,64.0,-1.913348515596797,229.0,0.0,0.0
621e2f1b67b776a240b3d87c,2022-01-06,9.166666666666666,6910.0,33.3178545455,66.0,-2.0880190622555554,349.0,0.0,0.0
621e2f1b67b776a240b3d87c,2022-01-07,11.5,4056.0,34.3385434783,65.0,-0.7283390408880343,215.0,0.0,0.0
621e2f1b67b776a240b3d87c,2022-01-08,6.366666666666666,6532.0,33.8460732984,78.0,-1.805184783688889,313.0,0.0,0.0
621e2f1b67b776a240b3d87c,2022-01-09,11.483333333333333,5690.0,33.6651088534,72.0,-2.0292540688792218,310.0,0.0,0.0
621e2f1b67b776a240b3d87c,2022-01-10,7.516666666666667,6951.0,33.9529711752,63.0,-1.983564096554386,329.0,0.0,0.0
621e2f1b67b776a240b3d87c,2022-01-11,9.416666666666666,6099.0,33.6793286219,77.0,-2.783677828249206,232.0,25.0,5.0
